City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
212,Chuy,UY,-33.6971,-53.4616,69.91,94,99,8.66,overcast clouds
213,Plettenberg Bay,ZA,-34.0527,23.3716,71.8,68,1,6.93,clear sky
214,Oksfjord,NO,70.2396,22.3479,35.78,94,93,2.55,overcast clouds
215,Rawson,AR,-43.3002,-65.1023,57.29,69,0,15.19,clear sky
216,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,75,75,23.02,broken clouds
217,Klaksvik,FO,62.2266,-6.589,50.92,98,100,22.3,light rain
218,Atambua,ID,-9.1061,124.8925,79.74,77,98,2.66,light rain
219,Beloha,MG,-25.1667,45.05,82.58,59,88,9.08,moderate rain
220,Beisfjord,NO,68.3751,17.5988,34.05,96,95,3.13,overcast clouds
221,Nouakchott,MR,18.0858,-15.9785,57.13,38,0,11.12,clear sky
222,Meiganga,CM,6.5167,14.3,80.64,26,34,4.38,scattered clouds
223,Petersburg,US,37.2279,-77.4019,43.21,53,0,9.35,clear sky
224,Kelvington,CA,52.1667,-103.5343,0.09,96,100,14.81,light snow
225,Lincoln,US,40.8,-96.667,27.28,62,0,9.22,clear sky
226,Sonoita,MX,31.85,-112.8333,54.57,58,0,4.63,clear sky
227,Nambucca Heads,AU,-30.65,153.0,63.18,67,100,13.02,overcast clouds
228,Kieta,PG,-6.2167,155.6333,78.84,87,100,4.38,light rain
229,Vardo,NO,70.3705,31.1107,31.98,86,75,4.61,broken clouds
230,Yining,CN,29.0361,114.5636,33.37,92,100,2.98,light snow
231,Troitskoye,RU,52.9821,84.6757,2.01,80,0,6.93,clear sky
232,Monrovia,LR,6.3005,-10.7969,73.17,84,100,1.3,light rain
233,Winnemucca,US,40.973,-117.7357,35.65,48,0,9.22,clear sky
234,Abu Samrah,SY,35.3029,37.1841,57.09,80,42,2.89,scattered clouds
235,Saint Anthony,US,45.0205,-93.218,10.02,83,0,5.75,clear sky
236,San Andres,CO,12.5847,-81.7006,80.62,83,20,13.8,few clouds
237,Madrid,ES,40.4165,-3.7026,45.66,83,0,7.0,clear sky
238,Coihaique,CL,-45.5752,-72.0662,44.55,65,20,2.3,few clouds
239,Kungurtug,RU,50.5994,97.5228,-5.39,83,11,0.63,few clouds
240,Bilibino,RU,68.0546,166.4372,5.4,96,84,5.7,broken clouds
241,Verkhnyaya Inta,RU,65.9811,60.3094,-8.39,99,84,3.11,broken clouds
242,Anadyr,RU,64.75,177.4833,32.49,86,100,22.77,light snow
243,Makurdi,NG,7.7411,8.5121,81.14,23,56,5.53,broken clouds
244,Bulgan,MN,48.8125,103.5347,-0.38,81,2,2.77,clear sky
245,Sechenovo,RU,55.2244,45.8906,10.22,89,5,2.01,clear sky
246,Shimoda,JP,34.6667,138.95,50.11,81,99,4.18,overcast clouds
247,Pustoshka,RU,56.3355,29.369,16.34,88,15,6.31,few clouds
248,Saint-Philippe,RE,-21.3585,55.7679,81.99,76,44,10.16,light rain
249,Pevek,RU,69.7008,170.3133,26.98,73,100,25.05,overcast clouds
250,Scarborough,GB,54.2797,-0.4044,42.66,90,37,1.99,scattered clouds
251,Alice Springs,AU,-23.7,133.8833,89.15,12,1,10.36,clear sky
252,Itarema,BR,-2.9248,-39.9167,78.57,76,93,12.59,overcast clouds
253,Port-Gentil,GA,-0.7193,8.7815,82.36,83,40,6.91,scattered clouds
